StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,HI2_1_x,HI2_1_y,HI2_2_x,HI2_2_y,HI2_3_x,HI2_3_y,L2_1_x,L2_1_y,L2_2_x,L2_2_y,L2_3_x,L2_3_y,L12_1_x,L12_1_y,L12_2_x,L12_2_y,L12_3_x,L12_3_y,SP2_1_x,SP2_1_y,SP2_2_x,SP2_2_y,SP2_3_x,SP2_3_y,SP19_1_x,SP19_1_y,SP19_2_x,SP19_2_y,SP19_3_x,SP19_3_y,TH2_1_x,TH2_1_y,TH2_2_x,TH2_2_y,TH2_3_x,TH2_3_y,HI15_1_x,HI15_1_y,HI15_2_x,HI15_2_y,HI15_3_x,HI15_3_y,SP10_1_x,SP10_1_y,SP10_2_x,SP10_2_y,SP10_3_x,SP10_3_y
2026-04-20 20:55:10,2026-04-20 20:55:43,0,71.232.150.52,100,32,1,2026-04-20 20:55:43,R_7F2jDzia4EVAqAb,,,,,42.3474,-71.1582,anonymous,EN,2,2,,634,373,322,333,983,278,722,298,147,356,450,276,1107,535,186,895,1856,1220,144,95,392,422,184,560,537,449,140,754,219,491,460,1115,356,461,300,187,811,916,1365,1049,518,303,245,429,389,126,34,120
2026-04-20 20:55:03,2026-04-20 20:56:17,0,71.232.150.52,100,73,1,2026-04-20 20:56:17,R_5SBIxXkbryFVKJk,,,,,42.3474,-71.1582,anonymous,EN,2,5,,622,349,273,442,1043,285,172,379,372,293,742,284,1041,535,1312,897,1868,1226,506,205,229,71,393,542,492,444,498,766,181,713,475,1169,447,416,434,659,417,708,1353,976,888,742,220,426,340,98,426,393
2026-04-20 21:49:38,2026-04-20 21:51:26,0,110.226.178.42,100,108,1,2026-04-20 21:51:27,R_9YxlPApBn8snWNG,,,,,19.0748,72.8856,anonymous,EN,5,2,,603,141,45,441,942,244,731,341,140,466,420,256,1043,482,1898,1233,159,780,435,531,164,62,589,89,533,163,568,533,478,740,448,616,465,1137,528,195,467,702,1119,352,879,939,243,281,409,89,205,491
2026-04-20 22:35:49,2026-04-20 22:38:47,0,110.224.113.207,100,177,1,2026-04-20 22:38:47,R_92shO8PUNsB6F9P,,,,,19.0748,72.8856,anonymous,EN,3,1,,648,172,1036,264,376,168,446,295,760,257,591,288,116,766,108,1150,1043,510,340,408,617,60,489,276,535,413,521,774,147,727,498,211,444,1104,468,642,1396,1069,398,711,1138,364,234,285,292,120,417,255
2026-04-21 5:53:01,2026-04-21 5:55:10,0,114.143.9.218,100,128,1,2026-04-21 5:55:11,R_4CNSJDtDEylpGvZ,,,,,19.0748,72.8856,anonymous,EN,5,2,,318,317,1128,49,928,307,129,489,956,282,679,242,381,410,1037,543,1728,205,179,89,420,476,126,484,568,172,527,443,780,582,426,580,535,185,429,1168,498,390,403,793,1054,356,269,264,60,101,447,284
2026-04-21 6:04:01,2026-04-21 6:05:45,0,114.143.9.218,100,103,1,2026-04-21 6:05:45,R_4dcA9zzUirImwmi,,,,,19.0748,72.8856,anonymous,EN,5,2,,603,103,635,314,955,327,143,504,787,448,915,297,182,459,1037,835,1944,283,196,89,426,566,534,447,577,166,737,227,504,501,462,607,492,195,433,1161,1106,399,325,767,536,314,269,278,42,112,476,371
2026-04-20 17:04:00,2026-04-21 6:36:45,0,128.197.28.180,100,48765,1,2026-04-21 6:36:45,R_7bOR9BFXt16Vn26,,,,,42.3464,-71.0975,anonymous,EN,2,2,,616,153,309,265,723,86,761,417,668,249,406,320,1864,1199,1130,702,1788,258,305,348,489,196,245,49,545,171,512,415,131,775,436,502,463,204,453,1100,518,305,1051,347,801,879,253,415,330,132,246,264
2026-04-23 7:28:37,2026-04-23 7:29:51,0,204.8.158.100,100,74,1,2026-04-23 7:29:51,R_5XWdhu1WlJ61QnT,,,,,42.3464,-71.0975,anonymous,EN,5,2,,571,310,453,34,113,372,712,303,480,323,743,195,1096,890,1125,744,273,1026,370,449,294,349,317,450,444,391,492,385,500,513,487,368,487,450,485,608,205,573,415,732,386,930,260,300,268,281,154,401
2026-04-23 18:31:17,2026-04-23 18:36:43,0,73.4.18.201,100,326,1,2026-04-23 18:36:43,R_5HY5ekJYRYXtUxb,,,,,42.3556,-71.1164,anonymous,EN,2,2,,769,320,288,261,577,315,772,277,435,326,789,424,906,471,1280,787,1640,776,454,190,359,451,109,116,526,169,441,744,123,795,299,193,396,310,554,222,344,751,733,899,1332,1110,184,80,344,139,248,445
2026-04-24 19:32:55,2026-04-24 19:33:55,0,128.197.28.161,100,60,1,2026-04-24 19:33:56,R_3UlR8NpPzhnAesx,,,,,42.3464,-71.0975,anonymous,EN,2,1,,661,360,1089,360,322,245,738,282,420,263,169,511,1189,467,1271,793,747,930,350,388,178,503,174,132,526,437,152,772,521,188,450,467,409,1152,531,217,424,749,1441,1063,786,818,261,410,334,181,279,302
